transaction_id,customer_id,product_id,sales_rep_id,transaction_date,quantity,unit_price,discount_percent,gross_amount,discount_amount,net_amount,payment_method,payment_status,sales_channel,region,currency_code,exchange_rate_to_usd,order_priority
TXN-2023-00031,CUST-16789,PROD-0012,REP-0267,2023-01-30,3,1499.00,10.00,4497.00,449.70,4047.30,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00032,CUST-00156,PROD-0007,REP-0045,2023-01-31,10,899.00,15.00,8990.00,1348.50,7641.50,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00033,CUST-17890,PROD-0004,REP-0203,2023-02-01,1,5999.00,0.00,5999.00,0.00,5999.00,Wire Transfer,Completed,Direct Sales,Asia-Pacific,AUD,0.6700,High
TXN-2023-00034,CUST-00567,PROD-0012,REP-0089,2023-02-02,5,1499.00,12.00,7495.00,899.40,6595.60,Credit Card,Completed,Online,Europe,GBP,1.2700,Medium
TXN-2023-00035,CUST-18901,PROD-0021,REP-0245,2023-02-03,20,299.00,15.00,5980.00,897.00,5083.00,Invoice,Pending,Direct Sales,North America,USD,1.0000,Low
TXN-2023-00036,CUST-00892,PROD-0003,REP-0112,2023-02-04,8,599.00,10.00,4792.00,479.20,4312.80,Wire Transfer,Completed,Partner,Europe,EUR,1.0800,Medium
TXN-2023-00037,CUST-19012,PROD-0015,REP-0289,2023-02-05,1,4999.00,5.00,4999.00,249.95,4749.05,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00038,CUST-02134,PROD-0006,REP-0156,2023-02-06,4,899.00,12.00,3596.00,431.52,3164.48,PayPal,Completed,Online,Europe,EUR,1.0800,Medium
TXN-2023-00039,CUST-20123,PROD-0002,REP-0134,2023-02-07,1,2999.00,8.00,2999.00,239.92,2759.08,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00040,CUST-00234,PROD-0012,REP-0078,2023-02-08,7,1499.00,15.00,10493.00,1573.95,8919.05,Invoice,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00041,CUST-21234,PROD-0008,REP-0112,2023-02-09,2,2999.00,5.00,5998.00,299.90,5698.10,Wire Transfer,Completed,Partner,Europe,EUR,1.0800,High
TXN-2023-00042,CUST-01567,PROD-0011,REP-0203,2023-02-10,30,199.00,18.00,5970.00,1074.60,4895.40,Credit Card,Completed,Direct Sales,Asia-Pacific,AUD,0.6700,Low
TXN-2023-00043,CUST-22345,PROD-0007,REP-0267,2023-02-11,12,899.00,15.00,10788.00,1618.20,9169.80,PayPal,Completed,Online,North America,USD,1.0000,High
TXN-2023-00044,CUST-00892,PROD-0021,REP-0112,2023-02-12,18,299.00,12.00,5382.00,645.84,4736.16,Credit Card,Completed,Partner,Europe,EUR,1.0800,Low
TXN-2023-00045,CUST-23456,PROD-0012,REP-0245,2023-02-13,4,1499.00,10.00,5996.00,599.60,5396.40,Wire Transfer,Failed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00046,CUST-00156,PROD-0018,REP-0045,2023-02-14,1,7999.00,5.00,7999.00,399.95,7599.05,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00047,CUST-24567,PROD-0003,REP-0156,2023-02-15,9,599.00,15.00,5391.00,808.65,4582.35,Invoice,Completed,Partner,Europe,EUR,1.0800,Medium
TXN-2023-00048,CUST-01245,PROD-0006,REP-0045,2023-02-16,6,899.00,10.00,5394.00,539.40,4854.60,PayPal,Completed,Online,Asia-Pacific,SGD,0.7400,Medium
TXN-2023-00049,CUST-25678,PROD-0004,REP-0289,2023-02-17,1,5999.00,0.00,5999.00,0.00,5999.00,Wire Transfer,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00050,CUST-00567,PROD-0012,REP-0089,2023-02-18,5,1499.00,12.00,7495.00,899.40,6595.60,Credit Card,Completed,Online,Europe,GBP,1.2700,Medium
TXN-2023-00051,CUST-26789,PROD-0002,REP-0078,2023-02-19,2,2999.00,8.00,5998.00,479.84,5518.16,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00052,CUST-02134,PROD-0015,REP-0156,2023-02-20,1,4999.00,5.00,4999.00,249.95,4749.05,Invoice,Pending,Partner,Europe,EUR,1.0800,High
TXN-2023-00053,CUST-27890,PROD-0011,REP-0267,2023-02-21,22,199.00,15.00,4378.00,656.70,3721.30,PayPal,Completed,Online,North America,USD,1.0000,Low
TXN-2023-00054,CUST-00892,PROD-0007,REP-0112,2023-02-22,14,899.00,18.00,12586.00,2265.48,10320.52,Wire Transfer,Completed,Partner,Europe,EUR,1.0800,High
TXN-2023-00055,CUST-28901,PROD-0012,REP-0203,2023-02-23,3,1499.00,10.00,4497.00,449.70,4047.30,Credit Card,Completed,Direct Sales,Asia-Pacific,JPY,0.0075,Medium
TXN-2023-00056,CUST-00234,PROD-0021,REP-0078,2023-02-24,12,299.00,12.00,3588.00,430.56,3157.44,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Low
TXN-2023-00057,CUST-29012,PROD-0008,REP-0245,2023-02-25,2,2999.00,5.00,5998.00,299.90,5698.10,Invoice,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00058,CUST-01567,PROD-0003,REP-0203,2023-02-26,10,599.00,15.00,5990.00,898.50,5091.50,Wire Transfer,Completed,Direct Sales,Asia-Pacific,AUD,0.6700,Medium
TXN-2023-00059,CUST-00156,PROD-0012,REP-0045,2023-02-27,6,1499.00,10.00,8994.00,899.40,8094.60,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00060,CUST-30123,PROD-0006,REP-0156,2023-02-28,5,899.00,12.00,4495.00,539.40,3955.60,PayPal,Completed,Online,Europe,EUR,1.0800,Medium
TXN-2023-00061,CUST-00892,PROD-0018,REP-0112,2023-03-01,1,7999.00,5.00,7999.00,399.95,7599.05,Wire Transfer,Completed,Partner,Europe,EUR,1.0800,High
TXN-2023-00062,CUST-31234,PROD-0002,REP-0289,2023-03-02,1,2999.00,8.00,2999.00,239.92,2759.08,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00063,CUST-02134,PROD-0011,REP-0156,2023-03-03,28,199.00,18.00,5572.00,1002.96,4569.04,Invoice,Completed,Partner,Europe,EUR,1.0800,Low
TXN-2023-00064,CUST-00567,PROD-0012,REP-0089,2023-03-04,4,1499.00,12.00,5996.00,719.52,5276.48,Credit Card,Completed,Online,Europe,GBP,1.2700,Medium
TXN-2023-00065,CUST-32345,PROD-0007,REP-0078,2023-03-05,11,899.00,15.00,9889.00,1483.35,8405.65,Wire Transfer,Failed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00066,CUST-01245,PROD-0021,REP-0045,2023-03-06,16,299.00,12.00,4784.00,574.08,4209.92,PayPal,Completed,Online,Asia-Pacific,SGD,0.7400,Low
TXN-2023-00067,CUST-33456,PROD-0015,REP-0267,2023-03-07,1,4999.00,5.00,4999.00,249.95,4749.05,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00068,CUST-00234,PROD-0003,REP-0078,2023-03-08,13,599.00,15.00,7787.00,1168.05,6618.95,Invoice,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00069,CUST-34567,PROD-0012,REP-0203,2023-03-09,5,1499.00,10.00,7495.00,749.50,6745.50,Credit Card,Completed,Direct Sales,Asia-Pacific,AUD,0.6700,Medium
TXN-2023-00070,CUST-00892,PROD-0008,REP-0112,2023-03-10,3,2999.00,8.00,8997.00,719.76,8277.24,Wire Transfer,Completed,Partner,Europe,EUR,1.0800,High
TXN-2023-00071,CUST-35678,PROD-0006,REP-0245,2023-03-11,7,899.00,12.00,6293.00,755.16,5537.84,PayPal,Completed,Online,North America,USD,1.0000,Medium
TXN-2023-00072,CUST-00156,PROD-0004,REP-0045,2023-03-12,1,5999.00,0.00,5999.00,0.00,5999.00,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00073,CUST-36789,PROD-0011,REP-0156,2023-03-13,24,199.00,18.00,4776.00,859.68,3916.32,Invoice,Pending,Partner,Europe,EUR,1.0800,Low
TXN-2023-00074,CUST-01567,PROD-0012,REP-0203,2023-03-14,6,1499.00,10.00,8994.00,899.40,8094.60,Wire Transfer,Completed,Direct Sales,Asia-Pacific,JPY,0.0075,High
TXN-2023-00075,CUST-00567,PROD-0002,REP-0089,2023-03-15,2,2999.00,8.00,5998.00,479.84,5518.16,Credit Card,Completed,Online,Europe,GBP,1.2700,Medium
TXN-2023-00076,CUST-37890,PROD-0007,REP-0289,2023-03-16,9,899.00,15.00,8091.00,1213.65,6877.35,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00077,CUST-02134,PROD-0021,REP-0156,2023-03-17,14,299.00,12.00,4186.00,502.32,3683.68,PayPal,Completed,Online,Europe,EUR,1.0800,Low
TXN-2023-00078,CUST-00892,PROD-0012,REP-0112,2023-03-18,4,1499.00,10.00,5996.00,599.60,5396.40,Invoice,Completed,Partner,Europe,EUR,1.0800,Medium
TXN-2023-00079,CUST-38901,PROD-0018,REP-0078,2023-03-19,1,7999.00,5.00,7999.00,399.95,7599.05,Wire Transfer,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00080,CUST-00234,PROD-0003,REP-0078,2023-03-20,11,599.00,15.00,6589.00,988.35,5600.65,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00081,CUST-39012,PROD-0015,REP-0267,2023-03-21,1,4999.00,5.00,4999.00,249.95,4749.05,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00082,CUST-01245,PROD-0006,REP-0045,2023-03-22,8,899.00,12.00,7192.00,863.04,6328.96,PayPal,Completed,Online,Asia-Pacific,SGD,0.7400,Medium
TXN-2023-00083,CUST-40123,PROD-0011,REP-0203,2023-03-23,26,199.00,18.00,5174.00,931.32,4242.68,Invoice,Completed,Direct Sales,Asia-Pacific,AUD,0.6700,Low
TXN-2023-00084,CUST-00567,PROD-0012,REP-0089,2023-03-24,5,1499.00,12.00,7495.00,899.40,6595.60,Wire Transfer,Completed,Online,Europe,GBP,1.2700,Medium
TXN-2023-00085,CUST-00156,PROD-0008,REP-0045,2023-03-25,2,2999.00,5.00,5998.00,299.90,5698.10,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00086,CUST-41234,PROD-0007,REP-0245,2023-03-26,13,899.00,15.00,11687.00,1753.05,9933.95,Credit Card,Failed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00087,CUST-02134,PROD-0021,REP-0156,2023-03-27,19,299.00,12.00,5681.00,681.72,4999.28,PayPal,Completed,Online,Europe,EUR,1.0800,Low
TXN-2023-00088,CUST-00892,PROD-0003,REP-0112,2023-03-28,9,599.00,10.00,5391.00,539.10,4851.90,Invoice,Completed,Partner,Europe,EUR,1.0800,Medium
TXN-2023-00089,CUST-42345,PROD-0012,REP-0289,2023-03-29,3,1499.00,10.00,4497.00,449.70,4047.30,Wire Transfer,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00090,CUST-01567,PROD-0002,REP-0203,2023-03-30,1,2999.00,8.00,2999.00,239.92,2759.08,Credit Card,Completed,Direct Sales,Asia-Pacific,JPY,0.0075,Medium
TXN-2023-00091,CUST-00234,PROD-0012,REP-0078,2023-03-31,7,1499.00,15.00,10493.00,1573.95,8919.05,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00092,CUST-43456,PROD-0018,REP-0156,2023-04-01,1,7999.00,5.00,7999.00,399.95,7599.05,Wire Transfer,Completed,Partner,Europe,EUR,1.0800,High
TXN-2023-00093,CUST-00567,PROD-0006,REP-0089,2023-04-02,6,899.00,12.00,5394.00,647.28,4746.72,PayPal,Completed,Online,Europe,GBP,1.2700,Medium
TXN-2023-00094,CUST-44567,PROD-0011,REP-0267,2023-04-03,21,199.00,15.00,4179.00,626.85,3552.15,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Low
TXN-2023-00095,CUST-01245,PROD-0007,REP-0045,2023-04-04,10,899.00,15.00,8990.00,1348.50,7641.50,Invoice,Pending,Direct Sales,Asia-Pacific,SGD,0.7400,High
TXN-2023-00096,CUST-00892,PROD-0012,REP-0112,2023-04-05,5,1499.00,10.00,7495.00,749.50,6745.50,Wire Transfer,Completed,Partner,Europe,EUR,1.0800,Medium
TXN-2023-00097,CUST-45678,PROD-0015,REP-0203,2023-04-06,1,4999.00,5.00,4999.00,249.95,4749.05,Credit Card,Completed,Direct Sales,Asia-Pacific,AUD,0.6700,High
TXN-2023-00098,CUST-00156,PROD-0003,REP-0045,2023-04-07,12,599.00,15.00,7188.00,1078.20,6109.80,Credit Card,Completed,Direct Sales,North America,USD,1.0000,Medium
TXN-2023-00099,CUST-46789,PROD-0021,REP-0245,2023-04-08,17,299.00,12.00,5083.00,609.96,4473.04,PayPal,Completed,Online,North America,USD,1.0000,Low
TXN-2023-00100,CUST-02134,PROD-0008,REP-0156,2023-04-09,2,2999.00,5.00,5998.00,299.90,5698.10,Invoice,Completed,Partner,Europe,EUR,1.0800,High
TXN-2023-00101,CUST-02572,PROD-0006,REP-0245,2024-04-07,1,899.00,20.00,899.00,179.80,719.20,PayPal,Completed,Direct Sales,Europe,EUR,1.0800,High
TXN-2023-00102,CUST-00573,PROD-0010,REP-0112,2024-10-03,8,999.00,10.00,7992.00,799.20,7192.80,Invoice,Completed,Direct Sales,Asia-Pacific,AUD,0.6700,High
TXN-2023-00103,CUST-02099,PROD-0002,REP-0089,2024-04-20,1,2999.00,12.00,2999.00,359.88,2639.12,Wire Transfer,Pending,Partner,Asia-Pacific,SGD,0.7400,Low
TXN-2023-00104,CUST-00293,PROD-0004,REP-0078,2024-04-10,3,5999.00,18.00,17997.00,3239.46,14757.54,Invoice,Completed,Direct Sales,North America,CAD,0.7500,High
TXN-2023-00105,CUST-02520,PROD-0003,REP-0112,2023-04-02,10,599.00,0.00,5990.00,0.00,5990.00,Invoice,Pending,Partner,North America,USD,1.0000,High
TXN-2023-00106,CUST-00742,PROD-0010,REP-0289,2023-06-19,2,999.00,12.00,1998.00,239.76,1758.24,Wire Transfer,Completed,Direct Sales,Europe,GBP,1.2700,High
TXN-2023-00107,CUST-02402,PROD-0008,REP-0156,2024-01-18,15,2999.00,0.00,44985.00,0.00,44985.00,Wire Transfer,Completed,Online,North America,CAD,0.7500,Low
TXN-2023-00108,CUST-00263,PROD-0012,REP-0089,2023-05-17,12,1499.00,12.00,17988.00,2158.56,15829.44,Wire Transfer,Completed,Online,North America,USD,1.0000,Medium
TXN-2023-00109,CUST-02296,PROD-0011,REP-0112,2023-05-19,15,199.00,5.00,2985.00,149.25,2835.75,Invoice,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00110,CUST-00578,PROD-0015,REP-0156,2023-10-28,2,4999.00,8.00,9998.00,799.84,9198.16,Invoice,Completed,Direct Sales,North America,CAD,0.7500,Medium
TXN-2023-00111,CUST-02521,PROD-0010,REP-0203,2023-10-21,2,999.00,20.00,1998.00,399.60,1598.40,Wire Transfer,Completed,Direct Sales,Europe,EUR,1.0800,Low
TXN-2023-00112,CUST-00972,PROD-0008,REP-0156,2023-02-25,4,2999.00,0.00,11996.00,0.00,11996.00,Invoice,Completed,Partner,Asia-Pacific,JPY,0.0075,High
TXN-2023-00113,CUST-00574,PROD-0012,REP-0245,2023-11-26,2,1499.00,15.00,2998.00,449.70,2548.30,Wire Transfer,Completed,Partner,North America,CAD,0.7500,High
TXN-2023-00114,CUST-01035,PROD-0009,REP-0134,2023-01-13,2,99.00,15.00,198.00,29.70,168.30,Invoice,Completed,Direct Sales,North America,USD,1.0000,Low
TXN-2023-00115,CUST-02334,PROD-0008,REP-0089,2023-09-22,20,2999.00,5.00,59980.00,2999.00,56981.00,PayPal,Completed,Direct Sales,North America,CAD,0.7500,High
TXN-2023-00116,CUST-00708,PROD-0010,REP-0289,2023-01-16,25,999.00,8.00,24975.00,1998.00,22977.00,Credit Card,Completed,Direct Sales,North America,CAD,0.7500,High
TXN-2023-00117,CUST-01561,PROD-0008,REP-0045,2024-03-07,1,2999.00,8.00,2999.00,239.92,2759.08,Invoice,Completed,Partner,North America,USD,1.0000,High
TXN-2023-00118,CUST-01720,PROD-0008,REP-0289,2023-07-14,3,2999.00,10.00,8997.00,899.70,8097.30,Wire Transfer,Completed,Direct Sales,Europe,GBP,1.2700,Low
TXN-2023-00119,CUST-00495,PROD-0015,REP-0289,2024-11-05,25,4999.00,15.00,124975.00,18746.25,106228.75,Invoice,Completed,Online,Asia-Pacific,JPY,0.0075,Low
TXN-2023-00120,CUST-01288,PROD-0011,REP-0045,2023-01-16,20,199.00,0.00,3980.00,0.00,3980.00,PayPal,Completed,Direct Sales,North America,CAD,0.7500,Low
TXN-2023-00121,CUST-00985,PROD-0003,REP-0156,2024-09-07,2,599.00,20.00,1198.00,239.60,958.40,Credit Card,Completed,Direct Sales,North America,CAD,0.7500,High
TXN-2023-00122,CUST-00872,PROD-0007,REP-0112,2024-08-21,2,8999.00,15.00,17998.00,2699.70,15298.30,Invoice,Completed,Direct Sales,Europe,EUR,1.0800,High
TXN-2023-00123,CUST-02109,PROD-0006,REP-0156,2023-09-28,3,899.00,15.00,2697.00,404.55,2292.45,Credit Card,Completed,Direct Sales,Europe,GBP,1.2700,High
TXN-2023-00124,CUST-00844,PROD-0001,REP-0203,2023-08-10,3,299.00,18.00,897.00,161.46,735.54,Wire Transfer,Completed,Partner,North America,USD,1.0000,Medium
TXN-2023-00125,CUST-01645,PROD-0003,REP-0245,2023-01-23,4,599.00,18.00,2396.00,431.28,1964.72,Credit Card,Completed,Direct Sales,North America,CAD,0.7500,High
TXN-2023-00126,CUST-00629,PROD-0006,REP-0134,2023-09-11,6,899.00,12.00,5394.00,647.28,4746.72,PayPal,Completed,Online,Europe,GBP,1.2700,Low
TXN-2023-00127,CUST-01891,PROD-0009,REP-0203,2024-10-02,30,99.00,15.00,2970.00,445.50,2524.50,PayPal,Completed,Direct Sales,North America,USD,1.0000,Low
TXN-2023-00128,CUST-01419,PROD-0011,REP-0289,2023-05-04,1,199.00,0.00,199.00,0.00,199.00,Credit Card,Completed,Partner,North America,CAD,0.7500,Low
TXN-2023-00129,CUST-00461,PROD-0009,REP-0245,2024-02-12,1,99.00,20.00,99.00,19.80,79.20,PayPal,Completed,Direct Sales,North America,CAD,0.7500,High
TXN-2023-00130,CUST-00972,PROD-0001,REP-0156,2024-01-06,5,299.00,10.00,1495.00,149.50,1345.50,Wire Transfer,Completed,Direct Sales,North America,USD,1.0000,Low
TXN-2023-00131,CUST-00711,PROD-0007,REP-0245,2023-11-15,1,8999.00,10.00,8999.00,899.90,8099.10,Wire Transfer,Completed,Partner,Asia-Pacific,AUD,0.6700,Medium
TXN-2023-00132,CUST-01902,PROD-0021,REP-0203,2023-02-27,6,299.00,12.00,1794.00,215.28,1578.72,Credit Card,Completed,Partner,North America,USD,1.0000,Medium
TXN-2023-00133,CUST-02405,PROD-0012,REP-0156,2023-03-08,15,1499.00,10.00,22485.00,2248.50,20236.50,Wire Transfer,Completed,Partner,Asia-Pacific,JPY,0.0075,Low
TXN-2023-00134,CUST-00152,PROD-0002,REP-0267,2024-11-30,4,2999.00,10.00,11996.00,1199.60,10796.40,Wire Transfer,Completed,Partner,Asia-Pacific,SGD,0.7400,Low
TXN-2023-00135,CUST-00326,PROD-0006,REP-0267,2023-12-27,4,899.00,8.00,3596.00,287.68,3308.32,Invoice,Completed,Direct Sales,Europe,GBP,1.2700,Medium
TXN-2023-00136,CUST-01103,PROD-0021,REP-0289,2023-10-09,10,299.00,10.00,2990.00,299.00,2691.00,Invoice,Completed,Direct Sales,Europe,EUR,1.0800,Medium
TXN-2023-00137,CUST-02212,PROD-0003,REP-0245,2024-09-05,4,599.00,10.00,2396.00,239.60,2156.40,PayPal,Completed,Partner,Asia-Pacific,JPY,0.0075,Low
TXN-2023-00138,CUST-02360,PROD-0002,REP-0089,2023-04-23,25,2999.00,15.00,74975.00,11246.25,63728.75,Credit Card,Completed,Partner,Asia-Pacific,SGD,0.7400,Low
TXN-2023-00139,CUST-01365,PROD-0002,REP-0289,2024-07-25,30,2999.00,20.00,89970.00,17994.00,71976.00,Wire Transfer,Completed,Direct Sales,North America,CAD,0.7500,Medium
TXN-2023-00140,CUST-00181,PROD-0010,REP-0134,2023-05-04,6,999.00,0.00,5994.00,0.00,5994.00,Invoice,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00141,CUST-02067,PROD-0015,REP-0267,2023-05-04,3,4999.00,18.00,14997.00,2699.46,12297.54,PayPal,Completed,Partner,Asia-Pacific,JPY,0.0075,Low
TXN-2023-00142,CUST-02122,PROD-0006,REP-0156,2024-05-01,15,899.00,15.00,13485.00,2022.75,11462.25,Credit Card,Pending,Direct Sales,North America,CAD,0.7500,Low
TXN-2023-00143,CUST-00844,PROD-0021,REP-0045,2023-08-16,3,299.00,10.00,897.00,89.70,807.30,Wire Transfer,Completed,Direct Sales,North America,CAD,0.7500,Low
TXN-2023-00144,CUST-00204,PROD-0004,REP-0203,2024-02-18,1,5999.00,8.00,5999.00,479.92,5519.08,Credit Card,Completed,Direct Sales,North America,CAD,0.7500,High
TXN-2023-00145,CUST-01421,PROD-0015,REP-0112,2023-12-31,1,4999.00,10.00,4999.00,499.90,4499.10,Credit Card,Completed,Partner,Europe,EUR,1.0800,High
TXN-2023-00146,CUST-00663,PROD-0018,REP-0156,2023-06-22,3,7999.00,20.00,23997.00,4799.40,19197.60,Credit Card,Completed,Direct Sales,North America,USD,1.0000,High
TXN-2023-00147,CUST-01524,PROD-0003,REP-0156,2023-07-27,20,599.00,0.00,11980.00,0.00,11980.00,PayPal,Completed,Direct Sales,North America,CAD,0.7500,Low
